name,Inf_0,Inf_1,Inf_2,Inf_3,Inf_4,Inf_5
преисподняя,I1ж,,,,,е
вкуснющий,I2,,,,,
жаднющий,I2,,,,,
недействующий,I2,,,,,
неслабеющий,I2,,,,,
несоответствующий,I2,,,,,
нестареющий,I2,,,,,
неутихающий,I2,,,,,
прилежащий,I2,,,,,
приставучий,I2,К4,,,,
непортящийся,I2*,,,,,
неприсоединившийся,I2*,,,,,
неустоявшийся,I2*,,,,,
прихожая,I2ж,,,,,
абсурдистский,I3,,,,,
адвентистский,I3,,,,,
адидасовский,I3,,,,,
аляскинский,I3,,,,,
амурский,I3,,,,,
анаболический,I3,,,,,
анапский,I3,,,,,
астраханский,I3,,,,,
афинский,I3,,,,,
бакинский,I3,,,,,
бангладешский,I3,,,,,
бардовский,I3,,,,,
битловский,I3,,,,,
бихевиористский,I3,,,,,
блесткий,I3,,,,,
болонский,I3,,,,,
бордоский,I3,,,,,
брестский,I3,,,,,
бристольский,I3,,,,,
брокерский,I3,,,,,
брянский,I3,,,,,
бургунский,I3,,,,,
валлийский,I3,,,,,
вампирский,I3,,,,,
вандалистский,I3,,,,,
ваххабитский,I3,,,,,
вернехонький,I3,,,,,
визитерский,I3,,,,,
викторианский,I3,,,,,
вифлеемский,I3,,,,,
владимирский,I3,,,,,
вознесенский,I3,,,,,
возрожденческий,I3,,,,,
воронежский,I3,,,,,
гадский,I3,,,,,
гаитянский,I3,,,,,
гарпунерский,I3,,,,,
гватемальский,I3,,,,,
гейгеровский,I3,,,,,
герпетический,I3,,,,,
гжельский,I3,,,,,
гидовский,I3,,,,,
гишпанский,I3,,,,,
глумливенький,I3,,,,,
глуповатенький,I3,,,,,
глухонький,I3,К5мн,,,,
гоголевский,I3,,,,,
голубоватенький,I3,,,,,
гондольерский,I3,,,,,
горбачевский,I3,,,,,
граверский,I3,,,,,
грозненский,I3,,,,,
дадаистский,I3,,,,,
дакский,I3,,,,,
даосский,I3,,,,,
дебоширский,I3,,,,,
дегенератский,I3,,,,,
дембельский,I3,,,,,
джайнистский,I3,,,,,
диастолический,I3,,,,,
дилерский,I3,,,,,
динамовский,I3,,,,,
диснеевский,I3,,,,,
дистрибьюторский,I3,,,,,
дознавательский,I3,,,,,
душманский,I3,,,,,
евнушеский,I3,,,,,
желанненький,I3,,,,,
женевский,I3,,,,,
жлобский,I3,,,,,
замовский,I3,,,,,
зековский,I3,,,,,
зоновский,I3,,,,,
зэковский,I3,,,,,
идеалистский,I3,,,,,
ижевский,I3,,,,,
инвайроменталистский,I3,,,,,
инкрустаторский,I3,,,,,
инкубаторский,I3,,,,,
иркутский,I3,,,,,
Исаакиевский,I3,,,,,
Йоркский,I3,,,,,
Камский,I3,,,,,
Канарский,I3,,,,,
каннский,I3,,,,,
капитолийский,I3,,,,,
кармический,I3,,,,,
каррарский,I3,,,,,
каскадерский,I3,,,,,
Каспийский,I3,,,,,
катарсический,I3,,,,,
кельнский,I3,,,,,
кемеровский,I3,,,,,
кировский,I3,,,,,
колорадский,I3,,,,,
колымский,I3,,,,,
краковский,I3,,,,,
красноватенький,I3,К5мн,,,,
кратенький,I3,,,,,
креационистский,I3,,,,,
кривичский,I3,,,,,
кришнаитский,I3,,,,,
